East_m,North_m,Depth_m
567909.982,4470135.684,0.73
567909.625,4470137.237,0.809
567909.292,4470138.647,0.849
567908.909,4470140.178,0.919
567908.714,4470141.373,0.99
567908.379,4470142.809,0.97
567908.35,4470143.978,0.907
567907.877,4470145.505,0.821
567907.473,4470146.926,0.748
567906.866,4470148.681,0.732
567906.635,4470149.558,0.474
567906.327,4470150.236,0.31
567906.056,4470150.757,0.096
567901.771,4470148.276,0.183
567901.84,4470147.389,0.472
567901.976,4470146.556,0.631
567902.314,4470145.267,0.8
567902.528,4470143.744,0.877
567902.685,4470141.16,1.08
567903.282,4470139.568,1.104
567903.866,4470137.761,0.927
567904.243,4470135.729,0.736
567904.863,4470133.646,0.575
567905.292,4470132.298,0.458
567905.795,4470130.696,0.371
567906.178,4470129.229,0.289
567906.505,4470127.697,0.162
567906.861,4470125.724,0.077
567906.99,4470124.361,0.152
567907.13,4470122.911,0.158
567907.219,4470121.654,0.159
567902.396,4470121.247,0.164
567902.367,4470122.759,0.16
567902.143,4470124.093,0.154
567901.586,4470127.487,0.138
567901.337,4470128.8,0.205
567900.871,4470130.298,0.375
567900.361,4470131.919,0.513
567900.306,4470133.169,0.569
567900.03,4470134.259,0.726
567899.622,4470135.807,0.875
567899.281,4470137.405,1.028
567899.154,4470138.871,1.128
567898.649,4470140.388,1.167
567898.178,4470141.8,1.024
567897.594,4470143.017,0.766
567896.858,4470144.423,0.551
567896.397,4470145.39,0.181
567896.193,4470145.829,0.075
567892.609,4470143.64,0.081
567892.66,4470142.738,0.417
567892.849,4470141.629,0.747
567893.061,4470140.447,0.956
567893.179,4470139.348,1.187
567893.638,4470137.904,1.316
567893.74,4470136.923,1.3
567893.788,4470135.284,1.222
567893.867,4470133.664,1.077
567893.681,4470132.093,0.872
567893.639,4470130.258,0.669
567893.661,4470129.006,0.489
567893.891,4470127.147,0.244
567893.87,4470125.195,0.102
567893.961,4470123.493,0.226
567894.129,4470121.954,0.17
567894.305,4470120.636,0.118
567889.257,4470117.295,0.171
567887.536,4470123.155,0.381
567887.288,4470124.408,0.437
567886.482,4470125.9,0.75
567885.568,4470128.056,1.165
567884.969,4470129.616,1.354
567884.054,4470131.602,1.343
567883.151,4470133.275,1.418
567882.405,4470134.649,1.182
567881.652,4470135.79,0.774
567881.326,4470137.099,0.351
567878.28,4470134.362,0.454
567878.799,4470133.596,0.781
567879.448,4470132.767,1.112
567880.214,4470131.682,1.396
567880.954,4470130.702,1.405
567881.546,4470129.674,1.373
567882.307,4470128.507,1.409
567882.767,4470127.365,1.406
567883.422,4470125.82,1.241
567885.002,4470123.042,0.735
567870.423,4470095.735,0.361
567868.68,4470099.674,0.462
567868.089,4470101.525,0.514
567867.33,4470103.292,0.552
567866.682,4470105.386,0.607
567866.122,4470107.27,0.629
567865.204,4470109.171,0.634
567864.372,4470111.615,0.448
567863.496,4470113.618,0.439
567858.611,4470108.637,0.445
567859.289,4470107.157,0.513
567860.227,4470105.141,0.574
567860.935,4470103.663,0.652
567861.863,4470102.291,0.65
567862.733,4470100.474,0.599
567863.618,4470099.071,0.569
567864.35,4470097.69,0.654
567865.206,4470096.495,0.585
567867.218,4470092.874,0.339
567860.006,4470092.317,0.548
567858.92,4470093.222,0.697
567857.279,4470095.157,0.68
567855.903,4470096.616,0.717
567855.147,4470097.988,0.672
567854.23,4470099.2,0.638
567853.402,4470100.582,0.635
567852.372,4470101.797,0.583
567912.045,4470164.779,0.097
567912.921,4470164.911,0.421
567913.763,4470165.051,0.588
567914.516,4470165.188,0.79
567915.193,4470165.259,0.914
567915.769,4470165.176,1.009
567916.275,4470165.04,1.104
567916.923,4470164.943,1.161
567917.349,4470166.96,1.003
567916.594,4470167.304,0.974
567915.9,4470167.388,0.96
567915.202,4470167.38,0.888
567914.387,4470167.362,0.705
567913.595,4470167.307,0.539
567912.057,4470167.226,0.127
567912.093,4470170.792,0.128
567913.277,4470170.937,0.181
567914.549,4470171.093,0.291
567915.562,4470171.136,0.452
567916.478,4470171.065,0.596
567917.465,4470170.97,0.674
567918.286,4470171.058,0.677
567918.408,4470172.829,0.284
567918.401,4470172.854,0.295
567917.14,4470173.329,0.297
567916.164,4470173.463,0.231
567915.097,4470173.824,0.195
567913.808,4470174.18,0.16
567912.499,4470174.106,0.069
567910.324,4470176.689,0.313
567911.365,4470176.791,0.261
567913.243,4470176.874,0.231
567914.373,4470176.707,0.19
567915.372,4470176.807,0.152
567916.261,4470176.812,0.141
567917.346,4470176.624,0.107
567918.496,4470176.453,0.075
567921.674,4470178.938,0.129
567911.939,4470181.508,0.048
567914.992,4470187.522,0.699
567913.641,4470187.955,0.714
567912.62,4470187.989,0.675
567911.385,4470188.076,0.655
567910.258,4470188.254,0.605
567909.304,4470188.462,0.631
567908.3,4470188.472,0.532
567907.554,4470188.495,0.503
567906.843,4470188.436,0.488
567904.767,4470187.507,0.066
567906.903,4470192.756,0.146
567908.06,4470192.603,0.4
567909.48,4470192.14,0.548
567910.374,4470191.852,0.661
567911.278,4470191.663,0.729
567912.277,4470191.354,0.818
567913.234,4470191.165,0.897
567914.161,4470191.02,0.687
567915.168,4470191.026,0.666
567916.019,4470190.871,0.679
567917.09,4470190.946,0.771
567917.919,4470190.91,0.861
567918.347,4470190.953,0.9
567918.431,4470193.215,0.918
567917.904,4470193.404,0.891
