Latitude_WGS84,Longitude_WGS84,Elev_m_NAVD88
41.539960,-83.691481,176.06
41.539964,-83.691482,176.05
41.539967,-83.691483,176.07
41.539972,-83.691485,176.03
41.539975,-83.691487,176.05
41.539977,-83.691487,176.04
41.539981,-83.691488,176.00
41.539984,-83.691490,176.01
41.539988,-83.691493,175.99
41.539991,-83.691495,175.99
41.539992,-83.691497,176.00
41.539996,-83.691500,175.96
41.539998,-83.691504,175.96
41.540000,-83.691508,175.93
41.540003,-83.691510,175.92
41.540005,-83.691511,175.90
41.540006,-83.691512,175.91
41.540008,-83.691512,175.89
41.540010,-83.691514,175.90
41.540010,-83.691515,175.91
41.540012,-83.691516,175.87
41.540013,-83.691517,175.87
41.540016,-83.691517,175.85
41.540019,-83.691519,175.82
41.540023,-83.691520,175.79
41.540026,-83.691521,175.79
41.540032,-83.691524,175.76
41.540037,-83.691527,175.74
41.540043,-83.691531,175.69
41.540047,-83.691534,175.72
41.540053,-83.691536,175.70
41.540057,-83.691539,175.75
41.540063,-83.691541,175.69
41.540067,-83.691543,175.75
41.540074,-83.691546,175.75
41.540079,-83.691549,175.76
41.540083,-83.691551,175.72
41.540087,-83.691555,175.74
41.540091,-83.691558,175.73
41.540094,-83.691561,175.76
41.540097,-83.691564,175.73
41.540099,-83.691567,175.74
41.540101,-83.691572,175.74
41.540103,-83.691576,175.73
41.540105,-83.691578,175.74
41.540107,-83.691582,175.73
41.540108,-83.691585,175.72
41.540111,-83.691591,175.72
41.540114,-83.691595,175.74
41.540117,-83.691601,175.76
41.540120,-83.691606,175.80
41.540123,-83.691611,175.76
41.540126,-83.691616,175.78
41.540128,-83.691620,175.73
41.540130,-83.691626,175.76
41.540131,-83.691631,175.78
41.540133,-83.691637,175.75
41.540135,-83.691642,175.75
41.540137,-83.691647,175.77
41.540139,-83.691651,175.75
41.540140,-83.691654,175.76
41.540143,-83.691658,175.74
41.540146,-83.691664,175.72
41.540149,-83.691670,175.75
41.540152,-83.691674,175.74
41.540155,-83.691680,175.71
41.540158,-83.691686,175.67
41.540161,-83.691691,175.70
41.540165,-83.691699,175.73
41.540169,-83.691706,175.70
41.540174,-83.691713,175.70
41.540177,-83.691718,175.71
41.540182,-83.691725,175.72
41.540186,-83.691731,175.67
41.540191,-83.691738,175.69
41.540196,-83.691745,175.69
41.540202,-83.691755,175.67
41.540206,-83.691762,175.70
41.540212,-83.691771,175.68
41.540217,-83.691780,175.77
41.540223,-83.691789,175.80
41.540228,-83.691798,175.83
41.540234,-83.691809,175.89
41.540239,-83.691818,175.94
41.540245,-83.691828,175.97
41.540250,-83.691837,175.99
41.540256,-83.691846,176.02
41.540261,-83.691854,176.01
41.540267,-83.691861,176.06
41.540274,-83.691870,176.09
41.540280,-83.691877,176.11
41.540286,-83.691885,176.17
41.540292,-83.691893,176.23
41.540297,-83.691899,176.23
41.540303,-83.691909,176.27
41.540308,-83.691916,176.31
41.540311,-83.691922,176.34
41.540315,-83.691930,176.34
41.540317,-83.691936,176.38
41.540319,-83.691942,176.38
41.540321,-83.691948,176.39
41.540323,-83.691954,176.37
41.540324,-83.691959,176.37
41.540325,-83.691965,176.38
41.540326,-83.691971,176.37
41.540327,-83.691976,176.35
41.540327,-83.691982,176.38
41.540327,-83.691987,176.32
41.540328,-83.691992,176.35
41.540327,-83.691997,176.31
41.540328,-83.692002,176.33
41.540327,-83.692007,176.33
